task,state,attack,epsilon,epsilon_label,sigma,auc,tpr_at_1pct,auc_sparse,tpr_at_1pct_sparse,n_records,single_feature,n_features_joint
ACSIncome,IN,joint,0.1,0.1,48.44805262605389,0.5140986875,0.00925,0.5062056423518854,0.012027491408934709,4000,AGEP,10
ACSIncome,IN,single,0.5,0.5,9.689610525210778,0.5289535625,0.01275,0.6694214876033058,0.0,4000,AGEP,10
ACSIncome,IN,joint,0.5,0.5,9.689610525210778,0.5298690625,0.009,0.5396761884026844,0.02058319039451115,4000,AGEP,10
ACSIncome,IN,single,1.0,1.0,4.844805262605389,0.54823675,0.01475,0.6275000000000001,0.0,4000,AGEP,10
ACSIncome,IN,joint,1.0,1.0,4.844805262605389,0.5798604999999999,0.01625,0.6076114119117034,0.017006802721088437,4000,AGEP,10
ACSIncome,IN,single,2.0,2.0,2.4224026313026945,0.617474125,0.028,0.6337448559670782,0.07407407407407407,4000,AGEP,10
ACSIncome,IN,joint,2.0,2.0,2.4224026313026945,0.627080125,0.01625,0.6652523617048539,0.020477815699658702,4000,AGEP,10
ACSIncome,IN,single,5.0,5.0,0.9689610525210778,0.7550861875,0.11525,0.8208,0.36,4000,AGEP,10
ACSIncome,IN,joint,5.0,5.0,0.9689610525210778,0.817732375,0.06425,0.8568148442083914,0.0847145488029466,4000,AGEP,10
ACSIncome,IN,single,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,IN,joint,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,IA,single,0.1,0.1,48.44805262605389,0.5106433750000001,0.01175,0.4855371900826447,0.0,4000,AGEP,10
ACSIncome,IA,joint,0.1,0.1,48.44805262605389,0.5007403125000001,0.01025,0.48527321308038535,0.007054673721340388,4000,AGEP,10
ACSIncome,IA,single,0.5,0.5,9.689610525210778,0.5346825625,0.01625,0.40997229916897504,0.05263157894736842,4000,AGEP,10
ACSIncome,IA,joint,0.5,0.5,9.689610525210778,0.5306915,0.013,0.5213454681929067,0.018835616438356163,4000,AGEP,10
ACSIncome,IA,single,1.0,1.0,4.844805262605389,0.5625599375,0.01175,0.5264,0.0,4000,AGEP,10
ACSIncome,IA,joint,1.0,1.0,4.844805262605389,0.5785675625,0.015,0.5677115721634914,0.016917293233082706,4000,AGEP,10
ACSIncome,IA,single,2.0,2.0,2.4224026313026945,0.60712775,0.02825,0.5311909262759924,0.043478260869565216,4000,AGEP,10
ACSIncome,IA,joint,2.0,2.0,2.4224026313026945,0.6495886875,0.02675,0.6590102194252618,0.018656716417910446,4000,AGEP,10
ACSIncome,IA,single,5.0,5.0,0.9689610525210778,0.7698571249999999,0.115,0.7889273356401384,0.5882352941176471,4000,AGEP,10
ACSIncome,IA,joint,5.0,5.0,0.9689610525210778,0.817410875,0.058,0.860356863416304,0.11188811188811189,4000,AGEP,10
ACSIncome,IA,single,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,IA,joint,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,KS,single,0.1,0.1,48.44805262605389,0.49750706250000004,0.0105,0.4858223062381853,0.08695652173913043,4000,AGEP,10
ACSIncome,KS,joint,0.1,0.1,48.44805262605389,0.5067748125,0.01475,0.5227510374799856,0.026402640264026403,4000,AGEP,10
ACSIncome,KS,single,0.5,0.5,9.689610525210778,0.5334687499999999,0.01225,0.549346016646849,0.06896551724137931,4000,AGEP,10
ACSIncome,KS,joint,0.5,0.5,9.689610525210778,0.5446930000000001,0.02075,0.5597995044232517,0.014778325123152709,4000,AGEP,10
ACSIncome,KS,single,1.0,1.0,4.844805262605389,0.56310075,0.02525,0.6260330578512396,0.09090909090909091,4000,AGEP,10
ACSIncome,KS,joint,1.0,1.0,4.844805262605389,0.5871493750000001,0.0165,0.6242764094860381,0.018363939899833055,4000,AGEP,10
ACSIncome,KS,single,2.0,2.0,2.4224026313026945,0.606123,0.02925,0.7215363511659808,0.1111111111111111,4000,AGEP,10
ACSIncome,KS,joint,2.0,2.0,2.4224026313026945,0.6631826875,0.03925,0.6955993863202392,0.04152823920265781,4000,AGEP,10
ACSIncome,KS,single,5.0,5.0,0.9689610525210778,0.7576215625,0.09475,0.7623456790123457,0.1111111111111111,4000,AGEP,10
ACSIncome,KS,joint,5.0,5.0,0.9689610525210778,0.8440338125000001,0.12325,0.8615969026225436,0.14871794871794872,4000,AGEP,10
ACSIncome,KS,single,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,KS,joint,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,KY,single,0.1,0.1,48.44805262605389,0.498614875,0.014,0.4784580498866214,0.0,4000,AGEP,10
ACSIncome,KY,joint,0.1,0.1,48.44805262605389,0.51899375,0.008,0.5499256191969002,0.01631321370309951,4000,AGEP,10
ACSIncome,KY,single,0.5,0.5,9.689610525210778,0.5305657500000001,0.014,0.765625,0.0625,4000,AGEP,10
ACSIncome,KY,joint,0.5,0.5,9.689610525210778,0.5368495,0.015,0.5395381455443,0.023696682464454975,4000,AGEP,10
ACSIncome,KY,single,1.0,1.0,4.844805262605389,0.559442625,0.01975,0.66015625,0.125,4000,AGEP,10
